,user_gender,referral_code_used,user_age,monthly_total_sell,EOP_Saham_AUM,EOP_Pasar_Uang_AUM,EOP_Pendapatan_Tetap_AUM,EOP_Campuran_AUM,EOP_total_invested_amount,EOP_profit_rate,user_vintage,predicted_score
1,0,0,27.0,0.0,0.0,0.0,1007002.0,0.0,1000000.0,0.7002,0.0,0.6024688082660271
2,0,0,29.0,0.0,208031.0,80121.0,135383.0,0.0,425000.0,-0.34470588235294114,0.0,0.5631020000883179
3,0,0,30.0,0.0,100425.0,20104.0,90968.0,0.0,200000.0,5.748500000000001,2.0,0.7725527239534702
4,1,0,31.0,0.0,809836.0,100130.0,441596.0,0.0,1325000.0,2.0046792452830187,1.0,0.5554392102738682
5,0,0,22.0,0.0,10990.0,20086.0,70467.0,0.0,100000.0,1.543,2.0,0.5654837033294111
6,0,0,27.0,0.0,53193.0,110190.0,40181.0,0.0,200000.0,1.7819999999999996,0.0,0.6417881820977303
9,1,0,33.0,0.0,104376.0,0.0,0.0,0.0,100000.0,4.376,2.0,0.6488367397007659
11,0,0,36.0,0.0,0.0,10012.0,0.0,0.0,10000.0,0.12,1.0,0.6075380800426654
15,1,0,21.0,-40000.0,148160.0,0.0,90434.0,0.0,230633.0,3.4518043818534214,1.0,0.5537879904545476
17,1,0,23.0,0.0,11431.0,0.0,0.0,0.0,10000.0,14.31,2.0,0.895055291488449
21,0,0,27.0,-100000.0,0.0,10009.0,0.0,0.0,10000.0,0.09,0.0,0.5671829029378594
25,1,0,28.0,0.0,105151.0,20050.0,80319.0,0.0,200000.0,2.76,1.0,0.5678522126321892
27,1,0,23.0,0.0,988726.0,291869.0,793556.0,0.0,2000000.0,3.70755,2.0,0.5654098400082258
30,0,0,22.0,0.0,63348.0,10017.0,30100.0,0.0,100000.0,3.465,0.0,0.6802859815280035
31,1,0,50.0,0.0,49600.0,10008.0,40047.0,0.0,100000.0,-0.345,0.0,0.5866061465023304
35,1,0,49.0,-60000.0,11253.0,70374.0,20226.0,0.0,100000.0,1.8530000000000002,2.0,0.6384207048828878
40,0,0,23.0,0.0,41027.0,10034.0,50331.0,0.0,100000.0,1.392,0.0,0.6008678016124964
41,1,0,32.0,0.0,62401.0,10052.0,30118.0,0.0,100000.0,2.571,1.0,0.5841337075763846
43,1,0,38.0,0.0,0.0,0.0,10001463.0,0.0,10000000.0,0.01463,0.0,0.6012716021650212
52,0,0,34.0,0.0,1301959.0,1259131.0,4111851.0,0.0,6500000.0,2.660630769230769,2.0,0.7131626632872673
54,0,0,38.0,0.0,0.0,1264448.0,0.0,0.0,1260000.0,0.353015873015873,2.0,0.6189903239401522
55,0,0,23.0,0.0,119697.0,30123.0,161319.0,0.0,300000.0,3.7130000000000005,2.0,0.6639309601278716
